job_group,rank,keyword,group_mean_tfidf,distinctive_score,global_mean_tfidf
생산·기술,12,물류관리자,0.024021740214269262,0.01027698056002868,0.013744759654240582
생산·기술,13,공무,0.01793379063553376,0.010066569783192978,0.00786722085234078
생산·기술,14,설치,0.019975725835561467,0.009815151447296418,0.010160574388265049
생산·기술,15,제조,0.017776405997805656,0.009544660499806217,0.008231745497999439
연구개발·품질,1,품질관리,0.049039893584173835,0.03725206050893586,0.011787833075237975
연구개발·품질,2,품질,0.04023436654298428,0.029187229252508606,0.011047137290475679
연구개발·품질,3,연구원,0.03837914083278578,0.026656171412813567,0.01172296941997221
연구개발·품질,4,연구,0.02290547934423751,0.017429836952951087,0.005475642391286422
연구개발·품질,5,연구개발,0.020350651162085332,0.01597085059647965,0.0043798005656056835
연구개발·품질,6,품질관리팀,0.019543705125081842,0.015291872469116511,0.00425183265596533
연구개발·품질,7,개발,0.028314081980374158,0.013753257059154119,0.01456082492122004
연구개발·품질,8,품질관리자,0.027086850331369112,0.012959884305648569,0.014126966025720543
연구개발·품질,9,품질보증,0.016846361971081768,0.012481448917810646,0.004364913053271121
연구개발·품질,10,분석,0.02312061567259727,0.012282772388841626,0.010837843283755644
연구개발·품질,11,설계,0.021898632064746456,0.012116553113031562,0.009782078951714894
연구개발·품질,12,화학,0.015619872303600131,0.01135416585012328,0.004265706453476852
연구개발·품질,13,시험,0.013893762529441892,0.010606484342975335,0.003287278186466556
연구개발·품질,14,전공,0.020857165502006732,0.010447508851396118,0.010409656650610614
연구개발·품질,15,공정,0.017287372355400912,0.010221918030729485,0.0070654543246714266
