region,rank,keyword,region_mean_tfidf,distinctive_score,global_mean_tfidf
경상북도,8,품질관리 포장,0.006192981082684007,0.0055590835513309525,0.000633897531353055
경상북도,9,품질관리자,0.0196458912525786,0.005518925226858056,0.014126966025720543
경상북도,10,중장비기사,0.013801319621531478,0.005492969540656534,0.008308350080874945
경상북도,11,화물 중장비기사,0.01376484289842711,0.005475103938914594,0.008289738959512516
경상북도,12,전기,0.015720874905405465,0.005471514624395985,0.01024936028100948
경상북도,13,생산직,0.02111517624923225,0.005412901082383414,0.015702275166848835
경상북도,14,성우플라텍,0.005871789600069145,0.005249798048853487,0.0006219915512156583
경상북도,15,배송기사,0.01487422022935509,0.004911203399894367,0.009963016829460722
경상남도,1,품질관리자,0.022190931087977414,0.00806396506225687,0.014126966025720543
경상남도,2,개발,0.02082756020596591,0.00626673528474587,0.01456082492122004
경상남도,3,학원강사,0.010983775794646903,0.006133854257152903,0.004849921537494
경상남도,4,설계엔지니어,0.013514876976728799,0.005566147275672959,0.00794872970105584
경상남도,5,개발자,0.01134329427519224,0.004853477137855754,0.006489817137336487
경상남도,6,설계엔지니어 품질관리자,0.005498164108049143,0.004810501394162871,0.0006876627138862722
경상남도,7,연합자산관리그룹 대기업,0.005449221669714873,0.004683831096250392,0.0007653905734644811
경상남도,8,품질팀,0.007641556583333068,0.00464565171681304,0.002995904866520028
경상남도,9,연합자산관리그룹,0.005405653128067169,0.004617991703107824,0.0007876614249593449
경상남도,10,품질관리자 기술영업,0.005350136692169711,0.004594995777466122,0.0007551409147035897
경상남도,11,근무하실,0.00555670786820867,0.004415703111188677,0.0011410047570199928
경상남도,12,매장관리자 운영보조,0.00621472529470544,0.004408133077979836,0.0018065922167256035
경상남도,13,매니저 스포츠강사,0.005932924381291431,0.004240109050017812,0.0016928153312736189
경상남도,14,후기,0.007193401712512209,0.004232680842370889,0.0029607208701413197
경상남도,15,기계엔지니어,0.014222322698971876,0.004193053293659174,0.010029269405312702
제주도,1,호텔종사자,0.02765283581894102,0.019625112843965502,0.00802772297497552
제주도,2,바리스타,0.023016087942094723,0.016963646331406748,0.006052441610687976
제주도,3,프론트,0.01703867006080547,0.012532255252753527,0.004506414808051943
제주도,4,안내데스크,0.018417831600633823,0.012409923766807017,0.006007907833826807
제주도,5,자격면허,0.014112300408485132,0.012275934197270386,0.0018363662112147463
제주도,6,레스토랑매니저,0.016505700642004136,0.01106554216111459,0.005440158480889546
제주도,7,안내데스크 리셉셔니스트,0.01679537500681524,0.011029117541384156,0.005766257465431085
제주도,8,리셉셔니스트,0.01679537500681524,0.010976005870713647,0.005819369136101594
제주도,9,구인,0.01920652363157621,0.010637729668703483,0.008568793962872728
제주도,10,운전면허증,0.013054511538811802,0.010530346718415101,0.0025241648203967
제주도,11,자격증,0.026626659845859497,0.010153416443677805,0.016473243402181693
제주도,12,매장관리자,0.020872571975106027,0.009932945680708856,0.01093962629439717
제주도,13,팩스,0.010825500925596376,0.009382700429505736,0.0014428004960906396
제주도,14,제과제빵사,0.012807197542290176,0.009176784428112698,0.0036304131141774764
제주도,15,제주호텔,0.009719333115077862,0.008952134044853465,0.000767199070224397
